Rank,Mountain,Height,Drop,lat,lon,Range,Region,Country,Firstascent
242,Corno Bianco,3320,446,45°49′22″N,07°52′44″E,I/B-09.III-C,Aosta/Vercelli,IT,1831
243,Testa Grigia / Groabhopt,3315,643,45°49′51″N,07°47′12″E,I/B-09.III-B,Aosta Valley,IT,1858
244,Mont Giusalet,3312,835,45°10′50″N,06°55′48″E,I/A-04.III-B,Savoy,FR,1871
245,Piz Buin,3312,544,46°50′39″N,10°07′07″E,II/A-15.VI-A,Vorarlb/Graub.,AT/CH,1865
246,Mont Pelve,3312,335,45°21′22″N,06°46′36″E,I/B-07.II-D,Savoy,FR,
247,Torre di Lavina,3308,475,45°33′20″N,07°26′55″E,I/B-07.IV-A,Aosta/Turin,IT,1856
248,Pointe de l'Aiglière,3307,546,44°48′37″N,06°24′53″E,I/A-05.III-C,Hautes-Alpes,FR,
249,Laaser Spitze/Orgelspitze,3305,318,46°33′43″N,10°43′04″E,II/C-28.I-A,South Tyrol,IT,1855
250,Reichenspitze,3303,683,47°08′22″N,12°06′39″E,II/A-17.I-D,N-Tyrol/Salzburg,AT,1856
251,Piz Paradisin,3302,875,46°25′34″N,10°07′02″E,II/A-15.IV-B,Graub./Sondrio,CH/IT,
252,Punta Ramiere / Bric Froid,3302,673,44°51′51″N,06°55′54″E,I/A-04.II-B,H-Alpes/Turin,FR/IT,1877
253,Becca di Tos,3301,461,45°37′49″N,07°06′24″E,I/B-07.III-A,Aosta Valley,IT,
254,Verstanclahorn,3298,375,46°50′06″N,10°04′21″E,II/A-15.VI-A,Graubünden,CH,1866
255,Cima Sud Argentera,3297,1306,44°10′41″N,07°18′21″E,I/A-02.I-B,Cuneo,IT,1879
256,Monte Sobretta,3296,835,46°23′51″N,10°26′13″E,II/C-28.I-B,Sondrio,IT,
257,Strahlkogel,3295,513,47°06′33″N,11°01′10″E,II/A-16.II-B,North Tyrol,AT,1833
258,Gross Schärhorn,3294,513,46°49′38″N,08°49′45″E,I/B-13.I-A,Uri,CH,1842
259,Muttler,3293,703,46°54′02″N,10°22′43″E,II/A-15.VI-B,Graubünden,CH,1859
260,Grand Glaiza / Punta Merciantaira (fr),3293,496,44°51′00″N,06°52′55″E,I/A-04.II-B,H-Alpes/Turin,FR/IT,1835
261,Hockenhorn,3293,348,46°25′42″N,07°44′39″E,I/B-12.II-D,Bern/Valais,CH,1840
262,Keeskogel,3291,374,47°08′11″N,12°18′43″E,II/A-17.II-A,Salzburg,AT,1840
263,Schlieferspitze,3290,514,47°07′21″N,12°14′36″E,II/A-17.II-A,Salzburg,AT,1871
264,M. Aiguillette / L'Asti (fr),3287,472,44°41′29″N,07°01′36″E,I/A-04.I-C,H-Alpes/Cuneo,FR/IT,
265,Petzeck,3283,799,46°56′53″N,12°48′17″E,II/A-17.II-D,Carinthia,AT,1844
266,Punta di Pietra Rossa,3283,662,46°19′29″N,10°26′15″E,II/C-28.I-B,Brescia,IT,
267,Ritzlihorn,3282,330,46°37′56″N,08°15′32″E,I/B-12.II-C,Bern,CH,1816
268,Roter Knopf,3281,549,46°58′43″N,12°44′22″E,II/A-17.II-D,Carinthia/E-Tyrol,AT,1872
269,Piz Fliana,3281,406,46°49′38″N,10°06′31″E,II/A-15.VI-A,Graubünden,CH,1869
270,Rognosa di Sestriere,3280,575,44°56′05″N,06°55′52″E,I/A-04.II-A,Turin,IT,1836
271,Pizzo Dosdè (it),3280,308,46°24′36″N,10°13′33″E,II/A-15.IV-B,Sondrio,IT,1879
272,Pizzo Tambo / Tambohorn,3279,1164,46°29′49″N,09°17′00″E,I/B-10.III-D,Graub./Sondrio,CH/IT,1828
273,Hohe Weiße,3279,384,46°44′44″N,11°02′14″E,II/A-16.I-B,South Tyrol,IT,1871
274,Habicht,3277,540,47°02′37″N,11°17′23″E,II/A-16.II-A,North Tyrol,AT,1836
275,Basòdino,3272,959,46°24′41″N,08°28′07″E,I/B-10.II-A,Ticino/V-C-O,CH/IT,1863
276,Helsenhorn,3272,586,46°18′17″N,08°11′30″E,I/B-10.I-A,Valais,CH,1863
277,Pointe d'Archeboc/Ormelune (fr; it),3272,439,45°35′01″N,06°58′49″E,I/B-07.III-A,Savoy/Aosta,FR/IT,
278,Östliche Feuerstein,3268,428,46°58′18″N,11°14′40″E,II/A-16.II-A,N-Tyrol/S-Tyrol,AT/IT,1854
279,Clariden,3267,413,46°50′31″N,08°52′17″E,I/B-13.I-A,Glarus/Uri,CH,1863
280,Piz Üertsch,3267,396,46°35′47″N,09°50′11″E,II/A-15.II-B,Graubünden,CH,1847
281,Antelao,3264,1735,46°27′09″N,12°15′38″E,II/C-31.I-E,Belluno,IT,1863
282,Scima da Saoseo,3264,440,46°23′08″N,10°09′29″E,II/A-15.IV-B,Graub./Sondrio,CH/IT,1894
283,Piz Languard,3262,947,46°29′18″N,09°57′23″E,II/A-15.IV-A,Graubünden,CH,1846
284,Piz Forbesch,3262,601,46°31′13″N,09°33′33″E,II/A-15.I-B,Graubünden,CH,1893
285,Dents du Midi: Haute Cime,3257,1796,46°09′40″N,06°55′24″E,I/B-08.II-A,Valais,CH,1784
286,Hasenöhrl,3257,375,46°32′40″N,10°51′31″E,II/C-28.I-A,South Tyrol,IT,1895
287,Gross Düssi / Piz Git,3256,429,46°47′30″N,08°49′39″E,I/B-13.I-A,Graubünden/Uri,CH,1841
288,Hocharn,3254,678,47°04′34″N,12°56′14″E,II/A-17.II-E,Carinth/Salzburg,AT,1827
289,Piz Tschütta / Stammerspitz,3254,406,46°54′13″N,10°20′35″E,II/A-15.VI-B,Graubünden,CH,1884
290,Sasseneire,3254,386,46°08′19″N,07°31′31″E,I/B-09.II-C,Valais,CH,1835
291,Penne Blanche (it),3254,349,45°37′08″N,07°25′37″E,I/B-07.IV-C,Aosta Valley,IT,
292,Berio Blanc (it),3252,736,45°45′11″N,06°53′52″E,I/B-07.III-B,Aosta Valley,IT,
293,Ankogel,3252,578,47°03′04″N,13°14′57″E,II/A-17.II-F,Carinth/Salzburg,AT,1762
294,Cavistrau / Brigelser Hörner,3252,448,46°47′04″N,08°58′26″E,I/B-13.II-A,Graubünden,CH,1865
295,Rauhkofel,3251,593,47°04′34″N,12°05′31″E,II/A-17.I-B,N-Tyrol/S-Tyrol,AT/IT,1853
296,Template:Großer Hornkopf,3251,455,46°58′02″N,12°46′44″E,II/A-17.II-D,Carinthia,AT,1890
297,Wildhorn,3248,978,46°21′21″N,07°21′44″E,I/B-12.II-F,Bern/Valais,CH,1843
298,Ringelspitz,3247,843,46°53′54″N,09°20′35″E,I/B-13.II-B,Graub./StGallen,CH,1865
299,Piz Ot,3246,631,46°32′36″N,09°48′37″E,II/A-15.II-A,Graubünden,CH,1830
300,Wasenhorn / Punta Terrarossa,3246,476,46°15′59″N,08°05′08″E,I/B-10.I-A,Valais/V-C-O,CH/IT,1844
301,Punta Painale,3246,413,46°15′24″N,09°58′26″E,II/A-15.III-A,Sondrio,IT,1885
302,Platthorn,3246,361,46°09′59″N,07°51′40″E,I/B-09.V-A,Valais,CH,
303,Tofana di Mezzo,3244,1369,46°33′04″N,12°03′56″E,II/C-31.I-D,Belluno,IT,1863
304,Hohe Fürleg,3244,410,47°08′30″N,12°21′46″E,II/A-17.II-A,E-Tyrol/Salzburg,AT,1894
305,Piz Bacun,3244,306,46°20′32″N,09°40′56″E,II/A-15.III-B,Graubünden,CH,1883
306,Wildstrubel,3243,815,46°24′01″N,07°31′43″E,I/B-12.II-F,Bern/Valais,CH,1855
307,Tête de Soulaure / Pic Félix Neff (it),3243,508,44°45′45″N,06°24′54″E,I/A-05.III-C,Hautes-Alpes,FR,
308,Hochschober,3242,433,46°56′33″N,12°41′54″E,II/A-17.II-D,East Tyrol,AT,1852
309,Titlis,3238,978,46°46′19″N,08°26′16″E,I/B-12.I-B,Bern/Obwalden,CH,1739
310,Grand Golliat,3238,313,45°51′33″N,07°06′06″E,I/B-09.I-A,Valais/Aosta,CH/IT,1879
311,Hoher Seeblaskogel,3235,370,47°05′44″N,11°04′29″E,II/A-16.II-B,North Tyrol,AT,1881
312,Pic des Houerts (it),3235,364,44°35′16″N,06°46′02″E,I/A-04.I-B,AdHP/H-Alpes,FR,
313,Ofenhorn / Punta d'Arbola,3235,334,46°23′12″N,08°19′07″E,I/B-10.I-A,Valais/V-C-O,CH/IT,1864
314,Becca del Merlo,3234,331,45°50′38″N,07°28′14″E,I/B-09.II-B,Aosta Valley,IT,
315,Großer Muntanitz,3232,717,47°04′25″N,12°35′21″E,II/A-17.II-B,East Tyrol,AT,1871
316,Le Péouvou,3232,488,44°37′49″N,06°53′01″E,I/A-04.I-A,AdHP/H-Alpes,FR,1888
317,Corno di Dosdè,3232,302,46°24′28″N,10°10′11″E,II/A-15.IV-B,Sondrio,IT,1866
318,Hoher Riffler,3231,321,47°04′52″N,11°42′16″E,II/A-17.I-A,North Tyrol,AT,1853
319,Augstenberg/Piz Blaisch Lunga,3230,432,46°51′52″N,10°12′14″E,II/A-15.VI-A,N-Tyrol/Graub.,AT/CH,1881
320,Piz Vadret,3229,660,46°41′13″N,09°57′46″E,II/A-15.II-B,Graubünden,CH,1867
321,Grand Galibier,3228,635,45°03′50″N,06°26′03″E,I/A-04.III-A,H-Alpes/Savoy,FR,1877
322,Tofana di Rozes,3225,664,46°32′13″N,12°03′04″E,II/C-31.I-D,Belluno,IT,1864
323,Hintere Stangenspitze (sv),3225,465,47°03′26″N,11°58′34″E,II/A-17.I-B,North Tyrol,AT,1891
324,Monte Gavia,3223,309,46°21′15″N,10°28′21″E,II/C-28.I-B,Brescia/Sondrio,IT,1891
325,Rocca Bernauda /Roche Bernaude,3222,682,45°06′05″N,06°37′39″E,I/A-04.III-A,H-Alpes/Turin,FR/IT,1882
326,Monte Cristallo,3221,1416,46°34′31″N,12°12′02″E,II/C-31.I-D,Belluno,IT,1865
327,Monte Civetta,3220,1454,46°22′48″N,12°03′12″E,II/C-31.II-A,Belluno,IT,1860
328,Tour Sallière,3220,726,46°07′37″N,06°55′29″E,I/B-08.II-A,Valais,CH,1858
329,Vorderes Plattenhorn: Ostgipfel,3220,300,46°48′36″N,10°01′59″E,II/A-15.VI-A,Graubünden,CH,1868
330,Vogelberg,3218,303,46°28′42″N,09°03′55″E,I/B-10.III-B,Graub./Ticino,CH,1864
331,Monte del Forno,3214,446,46°20′18″N,09°43′29″E,II/A-15.III-B,Graub./Sondrio,CH/IT,1876
332,Bec de l'Âne,3213,372,45°36′56″N,06°59′02″E,I/B-07.III-B,Savoy,FR,
333,Le Métailler,3213,302,46°06′14″N,07°21′37″E,I/B-09.I-D,Valais,CH,
334,Piz Medel,3211,952,46°37′06″N,08°54′40″E,I/B-10.III-A,Graub./Ticino,CH,1865
335,Scherbadung / Pizzo Cervandone,3211,716,46°19′27″N,08°13′23″E,I/B-10.I-A,Valais/V-C-O,CH/IT,1886
336,Diablerets,3210,968,46°18′14″N,07°11′20″E,I/B-12.III-A,Valais/Vaud,CH,1850
337,Gran Vernel (it),3210,314,46°26′33″N,11°49′56″E,II/C-31.III-B,Trentino,IT,1879
338,Piz Timun /Pizzo d'Emet,3209,823,46°28′01″N,09°24′34″E,II/A-15.I-A,Graub./Sondrio,CH/IT,1884
339,Piz Cambrialas,3208,364,46°47′22″N,08°51′07″E,I/B-13.I-A,Graubünden,CH,1905
340,Pic du Thabor,3207,711,45°07′07″N,06°33′44″E,I/A-04.III-A,Savoy,FR,1878
341,Hocheiser,3206,567,47°09′23″N,12°40′24″E,II/A-17.II-C,Salzburg,AT,1871
342,Glödis,3206,376,46°57′40″N,12°43′34″E,II/A-17.II-D,East Tyrol,AT,1871
343,Pointe Haute de Mary (it),3206,326,44°34′32″N,06°53′41″E,I/A-04.I-A,A-d-H-Provence,FR,1879
344,Punta Sorapiss,3205,1085,46°30′25″N,12°12′42″E,II/C-31.I-D,Belluno,IT,1864
345,Piz Sesvenna,3204,1055,46°42′21″N,10°24′10″E,II/A-15.V-B,Graubünden,CH,
346,Kitzsteinhorn,3203,436,47°11′17″N,12°41′16″E,II/A-17.II-C,Salzburg,AT,1828
347,Schwarzhorn,3201,308,46°13′00″N,07°45′24″E,I/B-09.II-D,Valais,CH,
348,Mastaunspitze,3200,455,46°41′37″N,10°48′09″E,II/A-16.I-A,South Tyrol,IT,1854
349,Piz Vadret,3199,308,46°30′32″N,09°57′03″E,II/A-15.IV-A,Graubünden,CH,
350,Gross Spannort,3198,616,46°47′12″N,08°31′28″E,I/B-12.I-B,Uri,CH,1867
351,Dreiländerspitze,3197,306,46°51′03″N,10°08′41″E,II/A-15.VI-A,N-Tyr/Vor/Graub.,AT/CH,1853
352,Pointes de Pierre Brune,3196,354,45°22′41″N,06°51′25″E,I/B-07.II-A,Savoy,FR,
353,Mont Tondu,3196,301,45°45′50″N,06°45′20″E,I/B-07.V-A,Savoy,FR,
354,Bortelhorn/ Punta del Rebbio,3193,430,46°17′41″N,08°07′31″E,I/B-10.I-A,Valais/V-C-O,CH/IT,1869
355,Rocca Blancia (it),3193,328,44°29′57″N,06°51′53″E,I/A-04.I-A,AdHP/Cuneo,FR/IT,
356,Cima Vezzana,3192,1273,46°17′23″N,11°49′49″E,II/C-31.IV-A,Belluno/Trentino,IT,1872
357,Pizzo Rotondo,3192,752,46°31′03″N,08°27′58″E,I/B-10.I-B,Ticino/Valais,CH,1869
358,Hübschhorn I,3192,325,46°14′13″N,08°03′19″E,I/B-10.I-A,Valais,CH,
359,Scopi,3190,792,46°34′18″N,08°49′48″E,I/B-10.III-A,Graub./Ticino,CH,1782
360,Löffelspitze (de),3190,303,47°01′03″N,12°09′52″E,II/A-17.II-A,East Tyrol,AT,1877
361,Spechhorn / Pizzo d'Antigine,3189,355,46°00′44″N,08°00′04″E,I/B-09.V-B,Valais/V-C-O,CH/IT,
362,Gleirscher Fernerkogel,3189,321,47°06′51″N,11°03′49″E,II/A-16.II-B,North Tyrol,AT,1883
363,Piz Surlej,3188,433,46°27′12″N,09°50′35″E,II/A-15.III-A,Graubünden,CH,1846
364,Gross Windgällen,3187,552,46°48′26″N,08°43′56″E,I/B-13.I-A,Uri,CH,1848
365,Mont Glacier,3186,355,45°37′53″N,07°32′23″E,I/B-07.IV-C,Aosta Valley,IT,
366,Becca di Tey,3186,301,45°35′10″N,07°05′41″E,I/B-07.III-A,Aosta Valley,IT,
367,Langkofel / Saslonch,3181,1124,46°31′30″N,11°44′07″E,II/C-31.III-A,South Tyrol,IT,1869
368,Piz Murtaröl,3180,679,46°34′13″N,10°17′15″E,II/A-15.V-A,Graub./Sondrio,CH/IT,1893
369,Piz Tasna,3179,371,46°51′33″N,10°15′08″E,II/A-15.VI-A,Graubünden,CH,1849
370,Piz Pisoc,3173,922,46°44′40″N,10°16′46″E,II/A-15.V-B,Graubünden,CH,1865
371,Corn da Tinizong /Tinzenhorn,3173,474,46°36′42″N,09°40′16″E,II/A-15.II-A,Graubünden,CH,1866
372,Pte de Paumont / Cima del Vallone,3171,378,45°08′22″N,06°43′42″E,I/A-04.III-B,Savoy/Turin,FR/IT,
373,Großer Fensterlekofel,3171,373,46°53′32″N,12°02′35″E,II/A-17.III-A,South Tyrol,IT,1877
374,Pic du Clapier du Peyron,3169,556,44°56′14″N,06°04′37″E,I/A-05.III-E,Isère,FR,1886
375,Hoher Riffler,3168,1341,47°06′58″N,10°22′15″E,II/A-15.VI-C,North Tyrol,AT,1864
376,Monte Pelmo,3168,1191,46°25′10″N,12°08′06″E,II/C-31.II-A,Belluno,IT,1857
377,Piz Tavrü,3168,851,46°40′45″N,10°17′46″E,II/A-15.V-B,Graubünden,CH,1893
378,Piz Vial,3168,465,46°37′55″N,08°58′09″E,I/B-10.III-A,Graubünden,CH,1873
379,Piz Plavna Dadaint,3167,490,46°42′31″N,10°13′25″E,II/A-15.V-B,Graubünden,CH,1891
380,Piz Albris,3166,318,46°27′51″N,09°57′48″E,II/A-15.IV-A,Ticino/Sondrio,CH/IT,
381,Piz Lagrev,3165,855,46°26′45″N,09°43′22″E,II/A-15.II-A,Graubünden,CH,1875
382,Piz Quattervals,3165,471,46°37′38″N,10°05′42″E,II/A-15.IV-A,Graubünden,CH,1848
383,Tête de Sautron /Monte Sautron (it),3165,300,44°29′12″N,06°52′39″E,I/A-04.I-A,AdHP/Cuneo,FR/IT,1877
384,Rosa dei Banchi (it),3164,314,45°34′38″N,07°31′57″E,I/B-07.IV-B,Aosta/Turin,IT,
385,Vieux Chaillol,3163,678,44°44′10″N,06°11′26″E,I/A-05.V-A,Hautes-Alpes,FR,
386,Pizzo Stella,3163,597,46°22′54″N,09°25′17″E,II/A-15.I-A,Sondrio,IT,1859
387,Pointe Clairy (it),3162,979,45°14′39″N,06°52′23″E,I/A-04.III-B,Savoy,FR,
388,Piz Mitgel,3159,445,46°36′51″N,09°38′48″E,II/A-15.II-A,Graubünden,CH,1867
389,Hausstock,3158,655,46°52′28″N,09°03′56″E,I/B-13.II-A,Glarus/Graub.,CH,1832
390,Monte Vallecetta,3156,493,46°24′43″N,10°24′01″E,II/C-28.I-B,Sondrio,IT,1867
391,Tête de Vautisse (fr),3156,434,44°42′05″N,06°29′09″E,I/A-05.III-C,Hautes-Alpes,FR,1887
392,Pic Ouest de Combeynot (fr),3155,815,45°00′44″N,06°24′40″E,I/A-05.III-A,Hautes-Alpes,FR,
393,Piz Prüna,3153,317,46°29′14″N,09°59′14″E,II/A-15.IV-A,Graubünden,CH,
394,Piz Boè,3152,939,46°30′32″N,11°49′41″E,II/C-31.III-A,Bell/S-Tyr/Tren,IT,1864
395,Piz Popena (it),3152,344,46°34′35″N,12°12′27″E,II/C-31.I-D,Belluno,IT,1870
396,Cima Brenta[3],3151,1499,46°10′46″N,10°53′59″E,II/C-28.IV-A,Trentino,IT,1871
397,Piz Terri,3149,390,46°36′00″N,09°02′03″E,I/B-10.III-A,Graub./Ticino,CH,1802
398,Becs de Bosson,3149,362,46°10′04″N,07°31′05″E,I/B-09.II-C,Valais,CH,
399,Kuchenspitze[Note 12],3148,575,47°02′55″N,10°13′48″E,II/A-15.VI-C,North Tyrol,AT,1884
400,Zillerplattenspitze (sv),3148,300,47°06′15″N,12°07′47″E,II/A-17.I-D,N-Tyrol/Salzburg,AT,1877
401,Croda Rossa / Hohe Gaisl,3146,1133,46°38′05″N,12°08′37″E,II/C-31.I-B,Belluno/S-Tyrol,IT,1870
402,Flüela Schwarzhorn,3146,609,46°44′09″N,09°56′30″E,II/A-15.II-B,Graubünden,CH,1835
403,Monte Rafray,3146,343,45°38′52″N,07°30′39″E,I/B-07.IV-C,Aosta Valley,IT,
404,Piz Mundin,3146,342,46°55′31″N,10°25′51″E,II/A-15.VI-B,Graubünden,CH,1849
405,Dreischusterspitze,3145,1393,46°40′08″N,12°19′02″E,II/C-31.I-A,South Tyrol,IT,1869
406,Napfspitze (Ahrntal),3144,587,47°03′36″N,12°02′23″E,II/A-17.I-B,N-Tyrol/S-Tyrol,AT/IT,1880
407,Piz Tea Fondada/Monte Cornaccia,3144,319,46°32′58″N,10°18′29″E,II/A-15.V-A,Graub./Sondrio,CH/IT,1883
408,Cime du Gélas / Monte Gelàs,3143,669,44°07′23″N,07°23′05″E,I/A-02.I-A,A-Marit/Cuneo,FR/IT,1864
409,Monte Cassa del Ferro (it),3140,849,46°34′43″N,10°12′06″E,II/A-15.IV-A,Sondrio,IT,1883
410,Cima Tosa[3],3140,587,46°09′19″N,10°52′14″E,II/C-28.IV-A,Trentino,IT,1865
411,Cime Redasco,3139,377,46°22′10″N,10°18′28″E,II/A-15.IV-B,Sondrio,IT,1896
412,Gross Ruchen,3138,397,46°48′37″N,08°46′29″E,I/B-13.I-A,Uri,CH,1864
413,Durreck,3135,618,46°57′40″N,12°01′44″E,II/A-17.II-A,South Tyrol,IT,1877
414,Wilde Kreuzspitze,3135,567,46°54′45″N,11°35′36″E,II/A-17.I-C,South Tyrol,IT,1852
415,Großer Friedrichskopf,3134,370,46°57′28″N,12°49′43″E,II/A-17.II-D,Carinthia,AT,1872
416,Hinter Schloss,3133,506,46°48′09″N,08°31′37″E,I/B-12.I-B,Uri,CH,1863
417,Pizzo Filone (fr),3133,332,46°27′27″N,10°09′48″E,II/A-15.IV-B,Sondrio,IT,
418,Mont Chaberton,3131,1281,44°57′53″N,06°45′06″E,I/A-04.III-A,Hautes-Alpes,FR,1822
419,Piz Duan,3131,482,46°22′31″N,09°35′00″E,II/A-15.I-A,Graubünden,CH,1859
420,Pointe Léchaud (nl),3128,525,45°44′01″N,06°48′51″E,I/B-07.III-B,Savoy/Aosta,FR/IT,
421,Grohmannspitze,3126,445,46°30′38″N,11°44′01″E,II/C-31.III-A,S-Tyrol/Trentino,IT,1880
422,Piz Schumbraida,3125,315,46°32′34″N,10°20′18″E,II/A-15.V-A,Graub./Sondrio,CH/IT,1883
423,Fanellhorn,3124,301,46°32′52″N,09°07′50″E,I/B-10.III-B,Graubünden,CH,1859
424,Piz Nuna,3123,535,46°43′24″N,10°09′16″E,II/A-15.V-B,Graubünden,CH,1886
425,Schareck,3123,427,47°02′29″N,13°01′03″E,II/A-17.II-E,Carinth/Salzburg,AT,1832
426,Groß Seehorn,3122,434,46°53′16″N,10°01′57″E,II/A-15.VI-A,Vorarlb/Graub.,AT/CH,1869
427,Piz Aul,3121,395,46°37′22″N,09°07′30″E,I/B-10.III-A,Graubünden,CH,1801
428,Piz da l'Acqua,3118,310,46°36′40″N,10°08′20″E,II/A-15.IV-A,Graub./Sondrio,CH/IT,1888
429,Grand Pinier (fr),3117,335,44°43′25″N,06°24′06″E,I/A-05.III-C,Hautes-Alpes,FR,
430,Schermerspitze,3116,308,46°53′16″N,11°05′04″E,II/A-16.I-A,North Tyrol,AT,
431,Grand Queyras,3114,308,44°42′56″N,06°57′07″E,I/A-04.I-C,Hautes-Alpes,FR,
432,Luibiskogel,3110,473,47°02′59″N,10°54′15″E,II/A-16.I-C,North Tyrol,AT,1894
433,Monte Servin,3108,333,45°15′53″N,07°11′59″E,I/B-07.I-C,Turin,IT,
434,Krönten,3108,330,46°46′56″N,08°34′10″E,I/B-12.I-B,Uri,CH,1868
435,Gletscherhorn[Note 13],3107,413,46°23′15″N,09°33′38″E,II/A-15.I-A,Graubünden,CH,1849
435,Pizz Gallagiun/Galleggione[Note 13],3107,413,46°22′01″N,09°29′16″E,II/A-15.I-A,Graub./Sondrio,CH/IT,1861
437,Ochsner,3107,300,47°02′38″N,11°48′56″E,II/A-17.I-B,North Tyrol,AT,1880
438,Tête de Moïse,3104,562,44°26′26″N,06°56′06″E,I/A-04.I-A,AdHP/Cuneo,FR/IT,1883
439,Piz la Stretta / Monte Breva,3104,314,46°28′36″N,10°02′41″E,II/A-15.IV-A,Graub./Sondrio,CH,
440,Große Ohrenspitze,3101,369,46°54′25″N,12°10′39″E,II/A-17.III-A,E-Tyrol/S-Tyrol,AT/IT,1878
441,Piz Segnas,3099,607,46°54′28″N,09°14′23″E,I/B-13.II-B,Glarus/Graub.,CH,1861
442,Monte Ouille,3099,362,45°43′54″N,06°51′59″E,I/B-07.III-B,Aosta Valley,IT,
443,Lasörling,3098,490,46°58′33″N,12°21′19″E,II/A-17.II-A,East Tyrol,AT,1854
444,Pointe des Cerces,3098,485,45°03′56″N,06°29′18″E,I/A-04.III-A,H-Alpes/Savoy,FR,1891
445,Pic des Souffles,3098,419,44°51′54″N,06°08′00″E,I/A-05.III-D,Isère/H-Alpes,FR,1890
446,Monte Matto,3097,577,44°13′30″N,07°15′23″E,I/A-02.I-B,Cuneo,IT,1879
447,Pflerscher Tribulaun,3097,498,46°59′07″N,11°20′21″E,II/A-16.II-A,N-Tyrol/S-Tyrol,AT/IT,1874
448,Piz Giuv / Schattig Wichel,3096,749,46°42′07″N,08°41′33″E,I/B-13.I-A,Graubünden/Uri,CH,1804
449,Mont Buet,3096,612,46°01′29″N,06°51′10″E,I/B-08.II-A,Upper Savoy,FR,1770
450,Zwölferkofel / Croda dei Toni,3094,713,46°37′09″N,12°21′35″E,II/C-31.I-A,Belluno/S-Tyrol,IT,1874
451,Elferkofel /Cima Undici,3092,661,46°38′11″N,12°22′42″E,II/C-31.I-A,Belluno/S-Tyrol,IT,1878
452,Racherin,3092,429,47°04′52″N,12°47′40″E,II/A-17.II-C,Carinthia,AT,1848
453,Mont Fallère (it),3090,607,45°46′32″N,07°11′39″E,I/B-09.I-B,Aosta Valley,IT,
454,Tête de la Courbe,3089,565,44°29′52″N,06°49′24″E,I/A-04.I-A,A-d-H-Provence,FR,
455,Vesulspitze,3089,550,47°00′06″N,10°20′57″E,II/A-15.VI-B,North Tyrol,AT,1866
456,Monte Forcellina (fr),3087,473,46°27′59″N,10°11′55″E,II/A-15.IV-B,Sondrio,IT,
457,Flüela Wisshorn,3085,632,46°45′44″N,09°58′00″E,II/A-15.VI-A,Graubünden,CH,1880
458,Cima da Lägh /Cima di Lago,3083,422,46°22′35″N,09°27′40″E,II/A-15.I-A,Graub./Sondrio,CH/IT,
459,Zwieselbacher Rosskogel,3081,330,47°09′48″N,11°02′53″E,II/A-16.II-B,North Tyrol,AT,1881
460,Chüealphorn,3078,472,46°41′07″N,09°54′19″E,II/A-15.II-B,Graubünden,CH,1877
461,Mont Néry,3076,906,45°42′57″N,07°49′12″E,I/B-09.III-B,Aosta Valley,IT,1873
462,Großer Hafner,3076,824,47°04′12″N,13°24′03″E,II/A-17.II-F,Carinth/Salzburg,AT,1825
463,Pic de Parières,3076,469,44°46′46″N,06°14′27″E,I/A-05.III-C,Hautes-Alpes,FR,
464,Piz Starlex,3075,779,46°39′46″N,10°23′33″E,II/A-15.V-B,Graub./S-Tyrol,CH/IT,
465,Piz Sena,3075,344,46°21′11″N,10°06′36″E,II/A-15.IV-B,Graub./Sondrio,CH/IT,1901
466,Bristen,3073,567,46°44′13″N,08°40′52″E,I/B-13.I-A,Uri,CH,1823
467,Wildkarspitze,3073,384,47°10′21″N,12°08′21″E,II/A-17.I-D,Salzburg,AT,1892
468,Pizzo Campo Tencia,3072,754,46°25′47″N,08°43′34″E,I/B-10.II-D,Ticino,CH,1867
469,Chüebodenhorn,3070,316,46°30′29″N,08°27′11″E,I/B-10.I-B,Ticino/Valais,CH,
470,La Meyna,3067,375,44°28′52″N,06°51′31″E,I/A-04.I-A,A-d-H-Provence,FR,
471,Geltenhorn,3065,312,46°20′47″N,07°20′04″E,I/B-12.II-F,Bern/Valais,CH,
472,Cunturines/Conturines,3064,913,46°34′33″N,11°58′40″E,II/C-31.I-C,South Tyrol,IT,1881
473,Hoher Prijakt,3064,473,46°54′56″N,12°42′46″E,II/A-17.II-D,East Tyrol,AT,1890
474,Pointe des Rochers Charniers,3063,389,44°59′16″N,06°44′08″E,I/A-04.III-A,Hautes-Alpes,FR,
475,Hoch Ducan,3063,324,46°41′22″N,09°51′05″E,II/A-15.II-B,Graubünden,CH,1845
476,Pizzo Gallina,3061,378,46°29′41″N,08°23′31″E,I/B-10.I-B,Ticino/Valais,CH,
477,Seeköpfe (sv),3061,330,47°02′40″N,10°16′03″E,II/A-15.VI-C,North Tyrol,AT,1886
478,Piz Grisch,3060,544,46°31′52″N,09°28′22″E,II/A-15.I-B,Graubünden,CH,1861
479,Rosenspitze (de),3060,429,46°59′18″N,12°15′16″E,II/A-17.II-A,East Tyrol,AT,1894
480,Grabspitze,3059,415,46°56′19″N,11°36′52″E,II/A-17.I-C,South Tyrol,IT,1852
481,Monte Vago,3059,388,46°26′27″N,10°04′44″E,II/A-15.IV-B,Sondrio,IT,
482,Sasso Vernale (it),3058,356,46°25′08″N,11°50′26″E,II/C-31.III-B,Belluno/Trentino,IT,
483,Bruschghorn,3056,577,46°37′52″N,09°18′24″E,I/B-10.III-C,Graubünden,CH,
